Word,Documents
extraordinária,"[(1, 1)]"
deverá,"[(1, 1), (70, 1)]"
ser,"[(1, 1), (2, 1), (5, 1), (6, 1), (7, 1), (12, 1), (13, 1), (15, 1), (16, 1), (18, 1), (20, 4), (21, 3), (26, 1), (28, 1), (32, 2), (34, 2), (35, 1), (37, 3), (39, 1), (44, 1), (45, 1), (48, 1), (49, 1), (51, 1), (53, 1), (55, 2), (56, 2), (57, 1), (58, 1), (59, 1), (64, 1)]"
convocada,"[(1, 1)]"
tratar,"[(1, 1)]"
após,"[(1, 1), (3, 1), (6, 2), (8, 3), (12, 1), (14, 1), (15, 1), (17, 1), (18, 1), (20, 1), (23, 2), (25, 2), (28, 2), (34, 1), (35, 1), (38, 2), (49, 1), (52, 1), (54, 1), (55, 1), (56, 1), (57, 1), (59, 1), (62, 1), (67, 1), (74, 1), (75, 1)]"
data,"[(1, 1), (51, 2), (55, 1), (59, 1)]"
aprovada,"[(1, 1), (6, 2), (65, 1), (67, 1)]"
etapa,"[(1, 1)]"
necessária,"[(1, 1), (18, 1)]"
jair,"[(2, 1), (3, 1), (12, 1), (15, 1), (21, 1), (28, 1), (30, 1), (32, 1), (33, 1), (35, 1), (37, 3), (40, 1), (43, 1), (44, 1), (45, 2), (49, 2), (51, 1), (52, 1), (53, 1), (54, 1), (56, 2), (60, 1), (62, 2), (63, 1), (64, 1), (66, 2), (67, 1), (69, 1), (70, 2), (73, 1), (74, 1)]"
bolsonaro,"[(2, 2), (3, 2), (6, 1), (12, 3), (15, 5), (21, 1), (28, 5), (30, 1), (32, 1), (33, 1), (35, 1), (37, 3), (40, 1), (43, 2), (44, 1), (45, 2), (49, 6), (51, 3), (52, 1), (53, 2), (54, 4), (56, 3), (59, 2), (60, 2), (62, 10), (63, 5), (64, 1), (66, 4), (67, 4), (69, 4), (70, 5), (73, 1), (74, 2)]"
voltou,"[(2, 1), (9, 1)]"
criticar,"[(2, 1), (40, 1)]"
metodologia,"[(2, 4)]"
empregada,"[(2, 1), (70, 1)]"
instituto,"[(2, 3), (6, 1), (9, 1), (56, 1), (59, 1)]"
brasileiro,"[(2, 1), (6, 1), (9, 1), (13, 2), (20, 3), (31, 1), (32, 1), (33, 3), (34, 1), (38, 1), (51, 2), (56, 1), (59, 1), (62, 1), (63, 5), (71, 2)]"
geografia,"[(2, 1), (9, 1)]"
estatística,"[(2, 1), (9, 1)]"
ibge,"[(2, 3), (9, 1)]"
medir,"[(2, 1)]"
taxa,"[(2, 5), (7, 1), (9, 1), (29, 1)]"
desemprego,"[(2, 4), (9, 1)]"
país,"[(2, 1), (3, 1), (4, 1), (7, 2), (8, 2), (14, 1), (18, 1), (19, 2), (21, 2), (22, 1), (24, 1), (25, 1), (26, 1), (27, 1), (29, 2), (32, 3), (33, 4), (34, 1), (35, 3), (37, 2), (38, 1), (39, 1), (40, 1), (51, 1), (59, 3), (63, 1), (64, 1), (66, 1), (70, 1), (71, 2), (75, 1)]"
dados,"[(2, 3), (7, 1), (8, 1), (10, 1), (31, 1), (32, 1), (66, 2)]"
divulgados,"[(2, 1)]"
órgão,"[(2, 1), (31, 1), (33, 1), (48, 2), (53, 3)]"
índice,"[(2, 1), (6, 1), (8, 2), (9, 1), (10, 1), (29, 1)]"
aumentou,"[(2, 1), (10, 1)]"
trimestre,"[(2, 2), (6, 1), (8, 1), (9, 1)]"
encerrado,"[(2, 1)]"
fevereiro,"[(2, 1), (4, 4), (8, 3), (10, 2), (11, 1), (31, 1), (56, 1)]"
atingindo,"[(2, 1), (29, 1)]"
milhões,"[(2, 1), (8, 1), (18, 1), (20, 2), (28, 1), (31, 4), (32, 3), (33, 1), (39, 1), (49, 3), (54, 2), (63, 2), (73, 1)]"
pessoas,"[(2, 3), (12, 1), (14, 1), (18, 1), (23, 1), (31, 1), (34, 5), (35, 1), (37, 1), (38, 1), (39, 1), (45, 1), (59, 2), (60, 1), (66, 1), (75, 1)]"
percentual,"[(2, 1), (10, 3)]"
anterior,"[(2, 1), (4, 1), (10, 1), (15, 1), (32, 1)]"
acordo,"[(2, 2), (5, 1), (8, 7), (11, 1), (13, 1), (17, 1), (18, 3), (20, 2), (24, 1), (29, 1), (30, 4), (31, 1), (37, 2), (47, 1), (48, 4), (49, 1), (51, 1), (53, 2), (55, 3), (56, 1), (60, 1), (61, 5), (64, 1)]"
alta,"[(2, 1), (4, 5), (6, 2), (8, 2)]"
representa,"[(2, 1), (9, 1), (31, 1), (48, 1), (59, 1)]"
entrada,"[(2, 1), (18, 1), (33, 1)]"
mil,"[(2, 1), (4, 1), (8, 4), (31, 1), (33, 1), (35, 1), (39, 2), (49, 1), (53, 3), (64, 1)]"
população,"[(2, 2), (8, 1), (51, 3), (56, 1), (59, 1), (63, 1), (66, 1), (70, 1)]"
desocupada,"[(2, 1)]"
todo,"[(2, 1), (15, 3), (34, 2), (35, 2), (36, 1), (37, 3), (38, 5), (39, 2), (45, 1), (49, 2), (51, 1), (59, 1), (60, 1), (66, 1), (73, 2)]"
respeito,"[(2, 1), (14, 1), (15, 1), (62, 1), (67, 1), (68, 1), (70, 1), (75, 1)]"
pese,"[(2, 1)]"
aplicada,"[(2, 1), (17, 1), (61, 1)]"
outros,"[(2, 1), (4, 1), (12, 1), (19, 1), (21, 2), (32, 1), (33, 3), (34, 1), (37, 1), (55, 2), (57, 1), (59, 3), (63, 1), (64, 2), (67, 1), (70, 1)]"
países,"[(2, 1), (3, 1), (4, 1), (8, 1), (15, 1), (19, 1), (21, 5), (26, 3), (30, 5), (32, 1), (33, 10), (36, 1), (62, 2), (64, 1), (66, 3)]"
correta,"[(2, 1)]"
dito,"[(2, 1), (21, 1), (62, 1)]"
aqui,"[(2, 1), (32, 1), (34, 1), (35, 3), (37, 1), (60, 4), (62, 1)]"
criticado,"[(2, 1)]"
volto,"[(2, 1), (67, 1)]"
repetir,"[(2, 1)]"
interessam,"[(2, 1), (65, 1)]"
críticas,"[(2, 1), (51, 2), (53, 1), (59, 1), (60, 1), (66, 1)]"
falar,"[(2, 1), (12, 1), (34, 1), (37, 1), (43, 1), (45, 1), (52, 1)]"
verdade,"[(2, 1), (24, 1), (34, 2), (38, 1), (51, 1), (68, 1), (70, 2)]"
afirmou,"[(2, 2), (5, 2), (12, 1), (13, 1), (14, 1), (18, 1), (19, 1), (21, 1), (23, 1), (27, 1), (33, 3), (35, 1), (37, 1), (49, 2), (53, 1), (54, 1), (56, 4), (60, 1), (62, 1), (66, 6), (67, 1), (70, 2), (71, 1), (74, 1), (75, 1)]"
chefe,"[(2, 1), (6, 1), (13, 2), (17, 1), (33, 1), (49, 2)]"
planalto,"[(2, 1), (6, 1), (31, 1), (49, 1), (70, 3), (74, 1)]"
record,"[(2, 1), (59, 3)]"
nesta,"[(2, 1), (3, 1), (6, 2), (8, 1), (9, 1), (16, 1), (19, 1), (20, 1), (21, 1), (23, 2), (27, 1), (29, 2), (35, 1), (36, 1), (39, 1), (50, 1), (59, 1), (66, 1), (68, 1), (69, 1), (70, 1), (74, 1)]"
segunda,"[(2, 1), (4, 1), (5, 1), (8, 1), (28, 1), (36, 2), (38, 2), (55, 3), (70, 1)]"
feira,"[(2, 1), (3, 1), (8, 3), (9, 2), (14, 1), (15, 1), (16, 1), (17, 2), (19, 1), (20, 1), (21, 1), (23, 2), (24, 1), (25, 1), (26, 1), (27, 1), (29, 2), (35, 1), (36, 2), (49, 1), (50, 1), (51, 1), (55, 1), (58, 1), (59, 1), (62, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 2), (70, 1), (73, 1), (74, 1), (75, 1)]"
feita,"[(2, 1), (15, 1), (23, 1), (28, 1), (53, 1), (56, 1), (60, 1)]"
hoje,"[(2, 1), (4, 1), (7, 1), (10, 1), (30, 2), (32, 1), (33, 1), (34, 7), (38, 8), (39, 1), (55, 1), (59, 3), (62, 1), (66, 1)]"
leva,"[(2, 1)]"
conta,"[(2, 1), (8, 2), (23, 1), (34, 2), (35, 1), (37, 3), (43, 1), (45, 3), (50, 1), (52, 1), (58, 1)]"
procurando,"[(2, 2), (34, 1), (37, 2)]"
emprego,"[(2, 3), (4, 1), (8, 2), (37, 1)]"
procura,"[(2, 1)]"
desempregado,"[(2, 1)]"
então,"[(2, 1), (21, 3), (35, 1), (37, 1), (43, 1), (51, 1), (59, 1), (64, 1)]"
pequena,"[(2, 1), (37, 1)]"
melhora,"[(2, 1)]"
procuram,"[(2, 2)]"
acham,"[(2, 1)]"
aumenta,"[(2, 1), (24, 1), (33, 1), (59, 1), (66, 1)]"
coisa,"[(2, 1), (34, 1), (35, 2), (38, 1), (50, 2), (54, 2)]"
mede,"[(2, 1)]"
realidade,"[(2, 1), (8, 1), (38, 1), (39, 1), (54, 2)]"
parecem,"[(2, 1)]"
índices,"[(2, 1), (4, 1), (6, 1), (13, 1)]"
feitos,"[(2, 1), (11, 2), (23, 1), (55, 1)]"
enganar,"[(2, 1)]"
